,date,WTI_volume,WTI_spread,WTI_price,XOM_volume,XOM_spread,XOM_price,CVX_volume,CVX_spread,CVX_price,SHEL_volume,SHEL_spread,SHEL_price,LMT_volume,LMT_spread,LMT_price,MA_volume,MA_spread,MA_price,JPM_volume,JPM_spread,JPM_price,KO_volume,KO_spread,KO_price
181,2022-10-31,2527017,0.5599999999999996,7.59,26401838,3.469999999999999,110.81,13281031,5.780000000000001,180.9,5838825,1.1199999999999974,55.63,1288421,8.800000000000011,486.68,3157979,5.660000000000025,328.18,13295173,1.8400000000000034,125.88,14016378,0.8999999999999986,59.85
182,2022-11-01,2532099,0.27000000000000046,7.76,22213143,1.9199999999999875,111.91,9185616,2.5999999999999943,182.22,4792770,1.1500000000000057,55.84,1229929,7.2900000000000205,485.63,3660459,6.550000000000011,333.19,13386945,1.9500000000000028,128.15,10659459,0.9200000000000017,59.64
183,2022-11-02,3525817,0.5100000000000007,7.9,20661778,2.789999999999992,109.61,8095097,4.6299999999999955,178.5,3919461,1.2099999999999937,54.91,1292138,7.3799999999999955,482.06,3075115,13.370000000000005,319.82,16546085,3.720000000000013,126.97,14551132,1.4599999999999937,58.81
184,2022-11-03,3478134,0.5499999999999998,8.21,17103672,3.509999999999991,111.1,6607761,4.780000000000001,181.13,3795150,1.269999999999996,55.73,1291110,11.420000000000016,484.82,2861062,8.169999999999959,309.17,12474358,2.2700000000000102,127.2,9193970,0.8999999999999986,58.78
185,2022-11-04,3252318,0.4800000000000004,8.7,17541462,2.700000000000003,112.31,7491859,4.800000000000011,183.42,6535189,1.0100000000000051,57.06,1447171,13.930000000000007,481.67,3246836,9.889999999999986,318.37,14354353,2.3700000000000045,130.68,9726126,1.0300000000000011,59.26
186,2022-11-07,3639669,0.41999999999999993,8.99,16008044,1.8599999999999994,113.64,7577990,4.269999999999982,185.61,4806178,0.5999999999999943,56.86,944759,9.0,488.63,2742320,8.090000000000032,325.13,12011157,1.8100000000000023,131.37,8849704,0.5300000000000011,59.49
187,2022-11-08,2645805,0.46000000000000085,8.67,14661028,2.0600000000000023,114.0,6308242,2.3899999999999864,185.34,4022750,0.6799999999999997,56.21,1220973,7.82000000000005,494.12,2387459,7.139999999999986,325.75,9884053,1.920000000000016,131.45,10081649,0.8500000000000014,59.6
188,2022-11-09,5147009,1.17,7.07,19522755,4.710000000000008,108.9,8021724,6.590000000000003,177.93,5612875,1.480000000000004,53.11,1383237,8.199999999999989,485.18,3001178,8.54000000000002,315.64,9493961,2.210000000000008,129.74,10115159,0.8900000000000006,58.77
189,2022-11-10,3778951,0.4399999999999995,7.36,20146732,3.1300000000000097,110.5,6981533,4.2900000000000205,181.3,5155983,1.1799999999999997,53.88,1601072,11.520000000000039,490.77,3254972,8.239999999999952,337.27,16351589,2.719999999999999,135.08,16804845,1.3599999999999994,60.88
190,2022-11-11,3289683,0.4400000000000004,7.75,20518854,2.010000000000005,113.95,8428326,3.210000000000008,186.46,5480342,0.8200000000000003,55.77,3061838,21.21999999999997,463.86,3734766,6.269999999999982,339.29,10704664,2.3899999999999864,135.3,18972078,1.240000000000002,61.32
191,2022-11-14,2673928,0.6100000000000003,7.55,20858291,2.1500000000000057,113.37,9722363,3.5,186.55,3393581,0.75,54.66,2286803,12.610000000000014,462.04,2349019,8.490000000000009,339.37,11085604,1.8199999999999932,133.91,16361026,1.009999999999998,60.73
192,2022-11-15,2386304,0.5200000000000005,7.84,19373750,1.6599999999999966,114.13,7747319,3.1699999999999875,188.05,4948655,0.7199999999999989,56.28,3272823,16.939999999999998,467.25,2983623,11.730000000000018,343.51,14038346,4.110000000000014,132.94,13295839,1.4500000000000028,60.63
193,2022-11-16,2085342,0.33000000000000007,7.46,13590973,2.4000000000000057,112.91,7941075,4.139999999999986,184.99,4272507,1.0599999999999952,55.82,1022748,7.670000000000016,466.24,2579780,5.029999999999973,342.76,7893359,1.5300000000000011,133.12,14199486,0.740000000000002,60.52
194,2022-11-17,2852178,0.28000000000000025,7.24,12435740,2.450000000000003,113.06,6553224,3.9599999999999795,184.09,4534539,1.240000000000002,56.69,1403073,10.519999999999982,472.77,2004543,4.920000000000016,341.27,8824558,1.6099999999999852,132.54,11220301,0.6099999999999994,60.71
195,2022-11-18,3298436,0.45999999999999996,7.12,15415025,2.8700000000000045,112.08,7661469,3.759999999999991,182.99,3367940,1.009999999999998,55.94,2160399,8.100000000000023,476.82,2737666,7.300000000000011,343.69,9468537,2.3899999999999864,133.84,10415640,0.5700000000000003,61.14
196,2022-11-21,4786180,0.6600000000000001,6.77,20972978,3.719999999999999,110.97,8432869,5.8799999999999955,181.24,4371219,1.3200000000000003,54.69,1730774,5.729999999999961,480.94,1965239,6.6299999999999955,338.25,7800517,1.8100000000000023,133.05,15399353,1.009999999999998,62.08
197,2022-11-22,2548944,0.33999999999999986,7.25,17719088,3.039999999999992,114.18,9017994,3.4799999999999898,185.89,3419207,1.230000000000004,56.82,838407,4.980000000000018,479.5,2510939,7.759999999999991,344.96,9185670,1.5800000000000125,135.04,12319641,0.45000000000000284,62.35
198,2022-11-23,2399977,0.2699999999999996,6.91,11546685,1.8500000000000085,113.61,5831218,2.569999999999993,184.24,3203577,0.8900000000000006,56.83,1020415,4.269999999999982,481.07,1937368,6.650000000000034,348.64,7316204,1.6399999999999864,136.48,8990385,0.490000000000002,62.63
199,2022-11-25,1418682,0.3100000000000005,7.03,7136013,1.5499999999999972,113.21,2796407,1.990000000000009,183.7,1500910,0.759999999999998,56.82,321504,3.079999999999984,483.46,944409,3.319999999999993,351.29,3220496,1.079999999999984,136.74,5165499,0.4299999999999997,62.69
200,2022-11-28,2751106,0.28000000000000025,6.68,23017671,1.8399999999999892,109.81,9367156,3.509999999999991,178.36,3806189,0.8000000000000043,56.49,939150,5.240000000000009,483.21,2226412,7.0,344.59,9907551,2.5200000000000102,134.35,12268004,0.5399999999999991,62.7
201,2022-11-29,4206845,0.27000000000000046,6.86,14453174,2.009999999999991,110.54,6985359,2.1999999999999886,181.03,4289617,0.759999999999998,57.62,802623,3.3600000000000136,484.1,1724326,3.9700000000000273,343.13,7925322,2.2299999999999898,136.56,10969563,0.5900000000000034,62.48
202,2022-11-30,3917632,0.41999999999999993,6.87,23158059,2.1200000000000045,111.34,10936711,3.719999999999999,183.31,5377406,0.8800000000000026,58.47,1469962,8.21999999999997,485.19,4252283,14.919999999999959,356.4,14761248,4.990000000000009,138.18,30433938,1.9299999999999997,63.61
203,2022-12-01,2187723,0.54,6.57,14398314,1.8899999999999864,110.8,5217378,3.1100000000000136,182.49,4084642,0.8600000000000065,58.05,913652,7.329999999999984,483.69,3374744,7.529999999999973,360.8,8858472,3.2299999999999898,136.24,12001356,0.6799999999999997,63.79
204,2022-12-02,1848867,0.22999999999999954,6.49,15248385,2.509999999999991,109.86,6852304,3.6999999999999886,181.03,3510813,0.7199999999999989,57.72,1744461,17.139999999999986,496.23,2015586,6.230000000000018,360.06,8932057,2.009999999999991,135.16,13643450,1.1199999999999974,64.35
205,2022-12-05,3237272,0.6100000000000003,6.14,19287746,5.420000000000002,106.85,8162195,8.319999999999993,176.56,5917006,1.8599999999999994,57.4,1357208,6.660000000000025,490.67,2202602,4.449999999999989,356.09,10154531,3.969999999999999,131.37,9185090,0.5399999999999991,63.47
206,2022-12-06,3840874,0.5800000000000001,6.0,21196977,3.8900000000000006,103.88,8764989,6.939999999999998,172.01,6428901,1.5200000000000031,56.68,1076620,9.120000000000005,484.0,2353297,10.649999999999977,347.53,13966691,5.240000000000009,131.59,10099529,0.6500000000000057,63.44
207,2022-12-07,2569522,0.39999999999999947,5.79,20061729,2.4799999999999898,103.65,6936345,3.730000000000018,172.52,5444943,0.9699999999999989,56.35,999948,8.759999999999991,481.2,2454399,6.3799999999999955,347.42,11739425,2.75,131.5,12307605,0.46999999999999886,63.54
208,2022-12-08,3245623,0.41000000000000014,5.64,21128762,3.0900000000000034,104.42,8076601,4.3700000000000045,173.54,4571387,1.0700000000000003,56.59,762292,7.259999999999991,485.38,1998664,4.949999999999989,351.17,8907257,1.549999999999983,132.88,9946173,0.5,63.81
209,2022-12-09,3916683,0.3099999999999996,5.44,21298194,2.6500000000000057,103.54,10754284,5.259999999999991,168.0,4283357,1.1700000000000017,55.61,856508,7.150000000000034,483.58,2301173,5.409999999999968,348.83,7957818,1.759999999999991,132.16,13914856,0.75,63.14
210,2022-12-12,3190410,0.3100000000000005,5.72,20413173,2.6499999999999915,106.09,9364900,2.8100000000000023,169.75,4491861,0.6899999999999977,56.36,1129195,4.670000000000016,486.32,2427292,9.339999999999975,358.17,8841631,3.0500000000000114,134.21,11647900,1.000000000000007,63.97
211,2022-12-13,3281039,0.2599999999999998,5.85,24305345,1.5200000000000102,107.25,7838780,1.9800000000000182,173.53,5091499,0.6000000000000014,57.38,1731061,11.699999999999989,480.22,3072366,13.519999999999982,357.15,10025383,4.009999999999991,134.08,17521554,0.9000000000000057,63.99
212,2022-12-14,2716260,0.33999999999999986,5.91,17597334,2.549999999999997,106.46,7045514,3.6499999999999773,172.33,4325588,0.9399999999999977,56.76,1071788,8.129999999999995,485.19,2587188,8.330000000000041,357.51,9966115,2.950000000000017,133.41,12826650,1.0800000000000054,63.99
213,2022-12-15,2879918,0.3700000000000001,5.95,15367888,2.469999999999999,105.44,7273274,3.3100000000000023,171.04,6087661,1.1199999999999974,56.15,1067653,9.980000000000018,478.79,2774976,11.240000000000009,346.25,12090286,3.030000000000001,130.1,12213292,1.3999999999999986,63.11
214,2022-12-16,4542370,0.25,5.74,54596623,2.450000000000003,104.7,23876042,3.0500000000000114,168.72,6956962,0.8599999999999994,54.96,2590742,8.939999999999998,481.79,5947137,4.860000000000014,345.84,21133707,1.4699999999999989,129.29,33631530,0.8100000000000023,62.75
215,2022-12-19,3177515,0.4400000000000004,5.4,13611124,1.8200000000000074,105.17,7131563,2.569999999999993,169.88,5096775,1.0500000000000043,55.52,929944,8.050000000000011,481.79,2457278,6.310000000000002,341.26,9017156,2.240000000000009,130.06,10919725,0.9399999999999977,62.84
216,2022-12-20,2983028,0.33000000000000007,5.59,14680004,2.440000000000012,106.69,6199128,3.6899999999999977,172.67,4430725,0.75,56.13,1014530,9.629999999999995,486.15,1895912,3.75,342.95,8549927,1.8500000000000227,130.69,10286479,0.3999999999999986,62.79
217,2022-12-21,2455200,0.27999999999999936,5.58,13565365,1.4300000000000068,108.06,5479426,2.8000000000000114,174.7,4917419,1.0399999999999991,57.6,988276,4.8799999999999955,487.65,2086988,5.230000000000018,345.69,8051704,1.2099999999999795,132.16,10411288,0.9799999999999969,63.8
218,2022-12-22,2947778,0.3000000000000007,5.51,13215496,4.090000000000003,105.88,5756793,6.8799999999999955,172.08,3748871,1.6300000000000026,56.74,1520980,12.870000000000005,479.3,2276404,9.170000000000016,341.52,8651131,2.890000000000015,130.66,9668107,0.9400000000000048,63.34
219,2022-12-23,2283441,0.25,5.73,11539448,1.8399999999999892,108.68,6079120,3.890000000000015,177.4,2572147,0.8200000000000003,57.78,661647,5.819999999999993,483.29,1914737,6.850000000000023,343.6,5091905,1.8000000000000114,131.28,6463261,0.6699999999999946,63.82
220,2022-12-27,2658351,0.11999999999999922,5.79,11962058,1.6400000000000006,110.19,5167962,2.829999999999984,179.63,2395120,0.44999999999999574,57.87,788966,5.740000000000009,485.5,1637700,5.100000000000023,346.16,5410991,1.6699999999999875,131.74,7320717,0.5800000000000054,64.21
221,2022-12-28,2992844,0.34999999999999964,5.46,10702075,2.0999999999999943,108.38,4494350,3.3700000000000045,176.98,4140448,1.5399999999999991,56.56,810358,6.100000000000023,483.22,1854082,7.730000000000018,341.95,8827738,2.4000000000000057,132.46,7159417,1.1600000000000037,63.57
222,2022-12-29,2211211,0.3099999999999996,5.59,10534028,1.730000000000004,109.2,4142090,2.549999999999983,178.32,3415063,0.37999999999999545,56.67,764234,6.269999999999982,487.05,1459793,6.180000000000007,348.21,6585228,0.960000000000008,133.22,7169256,0.45000000000000284,63.95
223,2022-12-30,4057219,0.1299999999999999,5.58,11799640,1.8900000000000006,110.3,5005094,2.25,179.49,2068550,0.509999999999998,56.95,910037,8.569999999999993,486.49,1617719,4.279999999999973,347.73,9292519,1.8900000000000148,134.1,7650228,0.75,63.61
224,2023-01-03,3019933,0.5300000000000002,5.07,15146168,4.530000000000001,106.51,7565431,7.490000000000009,173.99,7766476,1.8599999999999994,55.98,1657329,10.240000000000009,477.53,2933755,10.720000000000027,346.8,11054778,2.8500000000000227,135.12,12180507,1.3800000000000026,62.95
225,2023-01-04,2949077,0.3799999999999999,5.16,18058396,2.3999999999999915,106.82,7684494,3.4399999999999977,172.14,5712988,0.8399999999999963,55.43,1391458,10.399999999999977,476.5,2661005,7.2900000000000205,355.15,11687643,2.1100000000000136,136.38,13387923,0.8200000000000003,62.92
226,2023-01-05,1999385,0.1900000000000004,5.12,15946559,3.6400000000000006,109.21,6088214,4.949999999999989,175.24,4266050,0.6000000000000014,55.48,1210096,8.240000000000009,477.07,2608546,6.2900000000000205,351.77,8381265,2.0100000000000193,135.35,9814674,0.7199999999999989,62.2
227,2023-01-06,1961774,0.20999999999999996,5.23,16348131,2.319999999999993,110.53,7191222,3.6899999999999977,176.56,5845518,1.25,57.25,1969440,22.230000000000018,473.24,4432804,13.400000000000034,367.67,10029076,3.8899999999999864,137.94,9989986,1.0900000000000034,63.4
228,2023-01-09,2382162,0.21999999999999975,5.45,17964591,3.8299999999999983,108.47,8385636,3.950000000000017,175.18,4939246,0.8999999999999986,58.07,2376959,15.490000000000009,458.99,3913658,5.439999999999998,370.97,8482297,2.0,137.37,9442623,1.1400000000000006,62.61
229,2023-01-10,2664049,0.27999999999999936,5.43,15104595,2.319999999999993,110.09,8307049,2.990000000000009,176.04,3475500,0.7899999999999991,58.37,1003543,8.57000000000005,462.29,3485924,4.470000000000027,371.01,9048665,1.4099999999999966,138.6,10134605,0.8099999999999952,62.13
230,2023-01-11,2082175,0.17999999999999972,5.58,16710366,2.3599999999999994,111.37,6962580,3.839999999999975,175.2,3113956,0.6400000000000006,58.93,1056366,4.509999999999991,463.0,3370200,6.660000000000025,377.86,8703698,1.6500000000000057,139.63,10822997,1.1500000000000057,62.01
231,2023-01-12,3834422,0.5199999999999996,5.91,15357321,2.0,113.22,6891351,2.469999999999999,177.08,3942425,1.0900000000000034,59.62,936688,6.689999999999998,461.74,3291386,4.2099999999999795,379.81,11001666,1.6400000000000148,139.49,13907327,1.2100000000000009,61.21
232,2023-01-13,2287298,0.2599999999999998,6.01,12011358,1.3299999999999983,113.15,5726331,2.3100000000000023,177.56,3619767,0.5400000000000063,59.61,2208772,8.96999999999997,449.83,4261049,3.5600000000000023,375.52,20200047,8.689999999999998,143.01,13986356,0.8699999999999974,61.43
233,2023-01-17,2228993,0.15000000000000036,6.22,16542201,1.4099999999999966,112.93,10697748,3.1399999999999864,180.49,3301583,0.8699999999999974,59.4,1753149,6.829999999999984,447.16,2814656,4.349999999999966,375.0,14292881,2.3100000000000023,140.8,18327779,0.8200000000000003,61.68
234,2023-01-18,3302637,0.6200000000000001,5.83,16399690,3.719999999999999,110.61,8899185,5.439999999999998,177.23,4893268,1.8100000000000023,58.39,1645124,7.580000000000041,441.27,2747128,7.310000000000002,368.92,13392601,4.319999999999993,136.57,19679436,1.9100000000000037,59.81
235,2023-01-19,2648831,0.34999999999999964,6.04,12928021,2.549999999999997,111.32,5907163,3.789999999999992,179.0,3563568,1.0500000000000043,59.13,1470078,6.890000000000043,439.31,3111242,7.199999999999989,367.94,13303371,2.3100000000000023,134.75,14894455,0.9299999999999997,59.72
236,2023-01-20,2253659,0.23000000000000043,6.11,16515614,2.8299999999999983,113.35,10477905,3.8400000000000034,180.9,4272295,0.8300000000000054,58.9,1409967,5.730000000000018,443.28,3863414,7.220000000000027,376.28,13092492,1.9399999999999977,135.08,14237702,0.6900000000000048,60.08
237,2023-01-23,2587620,0.14999999999999947,6.21,16584422,1.9500000000000028,112.76,8381315,2.5200000000000102,180.66,3219155,0.4799999999999969,58.63,1739634,5.96999999999997,441.28,2743884,5.019999999999982,378.57,10487128,3.140000000000015,137.27,12613428,0.5200000000000031,60.23
238,2023-01-24,2057001,0.29000000000000004,6.05,13583025,14.789999999999992,113.81,5988995,3.3000000000000114,180.83,3125185,2.1400000000000006,57.99,2865003,13.269999999999982,449.23,2756242,41.0,380.01,6944991,5.289999999999992,138.45,10103314,3.460000000000001,60.55
239,2023-01-25,1582739,0.3099999999999996,6.2,11914727,2.260000000000005,113.21,6727512,3.680000000000007,179.08,4033854,0.7100000000000009,57.84,2352520,10.970000000000027,454.16,3501927,7.4599999999999795,382.39,8967007,1.8700000000000045,139.12,11265844,1.0499999999999972,60.93
240,2023-01-26,3050270,0.3700000000000001,6.5,21019678,3.4399999999999977,117.76,14307824,4.3300000000000125,187.79,3815540,1.0300000000000011,58.52,2169006,10.930000000000007,459.81,3718355,11.110000000000014,377.24,7487631,1.6999999999999886,139.98,11884834,0.5300000000000011,60.81
241,2023-01-27,2267938,0.34999999999999964,6.36,15179207,2.280000000000001,115.61,19654686,6.310000000000002,179.45,2599115,0.7800000000000011,58.51,1587800,9.230000000000018,459.6,3405833,7.139999999999986,374.03,7489946,1.509999999999991,140.32,14087038,0.5900000000000034,60.49
242,2023-01-30,2759794,0.29000000000000004,6.08,18672053,2.339999999999989,113.56,11476042,4.670000000000016,174.2,3953046,0.5899999999999963,58.41,1641993,6.800000000000011,460.59,2688806,4.340000000000032,371.12,6729255,1.1800000000000068,139.13,15632006,0.7100000000000009,60.64
243,2023-01-31,2645234,0.21999999999999975,6.22,27861849,5.969999999999999,116.01,14481276,3.210000000000008,174.02,3360666,1.1000000000000014,58.81,2062014,4.470000000000027,463.26,3137379,5.460000000000036,370.6,9188738,1.8199999999999932,139.96,14344379,0.8300000000000054,61.32
244,2023-02-01,4608193,0.5800000000000001,6.0,19464873,4.039999999999992,114.74,11526400,4.1200000000000045,171.36,5282193,1.3900000000000006,58.32,1242598,5.479999999999961,462.25,2951854,9.779999999999973,374.08,8841846,2.759999999999991,139.59,12535439,0.9600000000000009,61.33
245,2023-02-02,3280977,0.33999999999999986,5.73,24562123,5.239999999999995,111.15,10463350,4.610000000000014,169.01,9676816,2.730000000000004,57.63,2104724,6.509999999999991,457.19,2761579,7.670000000000016,374.94,11822064,2.460000000000008,138.94,16947223,1.1100000000000065,60.28
246,2023-02-03,2999170,0.41999999999999993,5.84,20226609,2.549999999999997,111.92,8404871,3.0600000000000023,169.45,5750011,1.1700000000000017,58.3,1303069,7.660000000000025,459.08,2739672,7.730000000000018,373.91,11501232,4.200000000000017,141.09,15404440,1.1900000000000048,59.83
247,2023-02-06,2033992,0.29000000000000004,5.77,13855205,2.7700000000000102,111.73,7659492,2.75,169.64,5409777,0.9799999999999969,57.85,1393473,7.019999999999982,469.1,2068357,5.279999999999973,372.97,8406231,2.210000000000008,141.92,11330897,0.6200000000000045,60.17
248,2023-02-07,2984795,0.33999999999999986,6.07,16013314,3.2900000000000063,114.92,10256500,4.779999999999973,174.09,4831599,1.4799999999999969,59.61,1334786,9.840000000000032,468.33,2309176,8.230000000000018,375.06,10447888,3.1599999999999966,143.65,14922741,0.7000000000000028,60.07
249,2023-02-08,2491087,0.35000000000000053,5.82,18459678,1.980000000000004,113.92,9784725,4.599999999999994,170.0,5212568,1.0399999999999991,59.47,865028,8.060000000000002,469.65,2193818,5.650000000000034,370.35,6957965,1.759999999999991,142.64,11012019,0.3299999999999983,59.72
250,2023-02-09,2828323,0.25,5.65,17439311,2.059999999999988,114.35,10123359,2.6599999999999966,168.44,4918346,0.6100000000000065,59.79,799047,6.139999999999986,470.09,2287602,5.319999999999993,370.42,6443109,3.469999999999999,140.42,12515309,0.7199999999999989,59.62
